,date,sigma,std_sigma,precip,LAI,rzsm,psi_rz,ssm,psi_s,lc_type,B1,B2,B3,B4,B5,B6,B7,B1_filt,B2_filt,B3_filt,B4_filt,B5_filt,B6_filt,B7_filt
2005,2016-02-04 11:55:00,-7.577237,4.532724,0.0,0.5,65.38,0.012768083435261422,35.42,0.2274578264542773,17,0.23251789473684212,0.25419473684210525,0.2910936842105264,0.32504315789473687,0.4703042105263159,0.2052642105263158,0.15941684210526316,0.07712287285813627,0.09198546027072371,0.13420661268556047,0.14571448124974484,0.32411672310146095,0.2505176526397587,0.16941080685396526
2006,2015-02-20 12:53:00,-4.9496207,2.961304,0.0,0.30000000000000004,23.16,66.32718567701653,28.0,11.706193377543732,12,0.028901785714285713,0.034194642857142854,0.04890714285714286,0.06702142857142858,0.1498375,0.22733571428571428,0.14060714285714285,0.06604083309290454,0.07264762329531874,0.09293244867365916,0.11391562037779329,0.20668221730037886,0.2383607288714807,0.14732178464575454
2006,2015-03-04 12:53:00,-5.1347704,3.192019,0.0,0.30000000000000004,22.88,74.12615871068384,27.619999999999997,13.263342115858137,12,0.037148214285714284,0.043114285714285716,0.05725357142857143,0.07965714285714287,0.17921428571428571,0.265875,0.15892142857142855,0.05894208457387406,0.06592779242479896,0.08618804497405151,0.10744325123229068,0.20368362218435893,0.24530614342747892,0.15082388952891582
2006,2015-03-28 12:53:00,-8.799183,5.1983137,0.0,0.4,23.7,53.72874700149458,28.339999999999996,10.483539464136497,12,0.036782142857142854,0.04376785714285714,0.06703214285714285,0.09415714285714286,0.2033625,0.3137803571428571,0.19580357142857147,0.046662111295340626,0.05430222364299145,0.07443383404913007,0.09606768491804205,0.19814466872910663,0.25733588895051585,0.15685081381561267
2006,2015-07-26 12:53:00,-10.766489,6.2671695,0.0,0.6000000000000001,44.7,0.1628258449129283,43.38000000000001,0.21414188062914255,12,0.046112,0.054408,0.070248,0.089296,0.19261599999999998,0.314128,0.193692,0.033607447480447666,0.04250233245647555,0.05972534539720287,0.0777666132207565,0.18049486848544088,0.26393192293549583,0.15690513707270937
2006,2015-11-23 12:54:00,-7.926204,4.579064,0.0,0.4,41.14,0.34764968280557973,,,12,0.03947,0.048942000000000006,0.061854000000000006,0.08003,0.175574,0.20766400000000002,0.12780799999999998,0.030771577976720997,0.038644208388137175,0.04996273818716703,0.0672614219384223,0.15893804439447384,0.21241971520500205,0.13182707291357365
2006,2015-12-17 12:54:00,-10.237128,5.912144,0.0,0.30000000000000004,41.059999999999995,0.35388966131659244,,,12,0.012788,0.022312,0.03388,0.04754,0.138888,0.17171599999999998,0.09903200000000001,0.02886691152219739,0.037918162501591274,0.050212341663484795,0.06732587018258485,0.15686469186926413,0.20230315021143702,0.12520177207348704
2006,2016-01-10 12:54:00,-3.8993735,2.2953737,0.0,0.30000000000000004,41.31999999999999,0.33405120433873214,,,12,0.016019,0.024217000000000002,0.034498,0.04790900000000001,0.12635100000000002,0.147152,0.081194,0.028821680413537706,0.038529629131486484,0.05239217033674205,0.0702442763517053,0.1620439758015481,0.21048816196416306,0.1295313191056055
2006,2016-02-03 12:54:00,-8.768693,5.133951,0.0,0.30000000000000004,41.059999999999995,0.35388966131659244,,,12,0.04002,0.048791999999999995,0.063916,0.08464,0.182056,0.283308,0.182912,0.031418518350375665,0.04171962022147759,0.05770708351365526,0.07746596687739588,0.17734350242550337,0.242961491846636,0.14854081006123943
2006,2016-02-03 12:54:00,-8.783679,5.1219597,0.0,0.30000000000000004,41.059999999999995,0.35388966131659244,,,12,0.04002,0.048791999999999995,0.063916,0.08464,0.182056,0.283308,0.182912,0.031418518350375665,0.04171962022147759,0.05770708351365526,0.07746596687739588,0.17734350242550337,0.242961491846636,0.14854081006123943
2006,2016-02-27 12:54:00,-6.3081226,3.7076223,0.0,0.7000000000000001,40.42,0.4085296762922563,,,12,0.037458000000000005,0.050460000000000005,0.07165200000000001,0.097596,0.217526,0.33382300000000004,0.209463,0.03238907309035898,0.04219948798563108,0.05897467068324244,0.07972178485864242,0.18436911287425672,0.2676422593095465,0.16307777724977815
2006,2016-03-22 12:54:00,-8.002157,4.627713,0.0,1.0,40.239999999999995,0.4255387508352313,38.52,0.6343539014774362,12,0.045024,0.057936,0.078612,0.10380000000000002,0.234356,0.35248000000000007,0.21462,0.0349972917250062,0.04513442379113833,0.0638767528250389,0.08655275868018773,0.1960051617944486,0.29937580091080257,0.18440332580932683
2006,2016-04-15 12:54:00,-11.678367,6.7719474,0.0,1.4000000000000001,40.239999999999995,0.4255387508352313,38.64,0.616574513894369,12,0.03860535714285715,0.047855357142857144,0.07135357142857143,0.09583392857142858,0.22382857142857143,0.34086607142857145,0.20809642857142857,0.03880233360911953,0.04889977567991881,0.06829201666737417,0.09149174588088924,0.20729411230147057,0.31718690530640703,0.19360730338580442
2006,2016-05-09 12:54:00,-10.333844,5.969758,0.0,0.9,39.92,0.45775163726347345,39.04,0.5611865332732856,12,0.04404,0.05606799999999999,0.078492,0.10587600000000001,0.23204000000000002,0.34646800000000005,0.214252,0.04104573739516619,0.05153373050758794,0.07195581298174195,0.09622496119903316,0.21850832305853857,0.3334675911083787,0.20249325479797017
2006,2016-07-20 12:53:00,-9.224195,5.589105,0.0,0.4,21.220000000000002,147.54741799031925,24.72,36.55544540677379,12,0.045830357142857145,0.05864285714285715,0.08465178571428572,0.10829464285714285,0.2195982142857143,0.30763392857142857,0.2001517857142857,0.04414999372056539,0.052833175187746904,0.07139846263099872,0.09362224439942349,0.21612637213076616,0.33237411381475845,0.19910503682803793
