,site,precip,rzsm,psi_rz,ssm,psi_s,lc_type,vv,hv,B1,B2,B3,B4,B5,B6,B7,B1_filt,B2_filt,B3_filt,B4_filt,B5_filt,B6_filt,B7_filt,ndvi,ndmi,evi,id,elev,clay_fract,silt_fract,sand_fract,a,b,ws
2017-07-07,2215.0,0.0,3.94,190513.19160174215,6.780000000000001,5615.737710225359,11.0,-13.851994666666664,-20.273276666666664,0.0663,0.0746,0.09905,0.11535,0.2307,0.2707,0.2113,0.04556365215865255,0.05671018954019004,0.0799018094068101,0.0987159582309591,0.19519536855037029,0.2545544963144987,0.19824716391716574,0.3282602660332042,-0.13198253607472094,0.1770700168920023,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,4.406572533436349
2017-07-19,2215.0,0.0,3.68,296769.768752013,7.0200000000000005,4480.44041210322,11.0,-15.703654666666665,-21.022553666666667,0.0582,0.07095,0.0975,0.1201,0.22865,0.27685000000000004,0.2158,0.024648444483444682,0.035020725400725705,0.06059595940095992,0.0811245600795608,0.1887456446706464,0.2673448999649024,0.20867691470691654,0.39878831637119794,-0.1723325690890234,0.19043428502396964,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,4.297656862857138
2017-07-31,2215.0,0.0,3.7,286507.9921241049,6.6400000000000015,6430.430743150867,11.0,-14.403166333333333,-20.316428333333334,0.06655,0.07490000000000001,0.0987,0.11845,0.2181,0.27190000000000003,0.2099,0.02368898736398756,0.03346654849654879,0.05940445945945999,0.0803874651924659,0.1892291406341424,0.26648986310986555,0.2073915432315452,0.40369054831761025,-0.16953588031435923,0.19154782704892054,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,4.411762089106674
2017-08-12,2215.0,0.0,3.9,203562.4469541852,6.660000000000001,6306.084474374113,11.0,-16.03343733333333,-19.172468666666663,0.061159999999999985,0.06965,0.09279,0.11254000000000002,0.20734,0.25638000000000005,0.19852,0.035260297180297495,0.044602283842284235,0.06935584649584711,0.08983137592137673,0.19258952497952675,0.25473872586872826,0.19720694746694928,0.36384753653273716,-0.13893421837621447,0.18388276295269834,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,5.14764659853662
2017-08-24,2215.0,0.0,3.64,318593.02507409785,6.3,9045.854773109972,11.0,-14.066167166666666,-18.58676966666667,0.061159999999999985,0.06965,0.09279,0.11254000000000002,0.20734,0.25638000000000005,0.19852,0.035260297180297495,0.044602283842284235,0.06935584649584711,0.08983137592137673,0.19258952497952675,0.25473872586872826,0.19720694746694928,0.36384753653273716,-0.13893421837621447,0.18388276295269834,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,4.262700637036123
2017-09-05,2215.0,0.0,3.4,496092.2861500621,6.42,8002.8800883138465,11.0,-13.177238666666668,-20.277260333333334,0.05044,0.06065000000000001,0.08451,0.10525999999999999,0.19366,0.23701999999999998,0.18467999999999998,0.04587082469127965,0.054909415105779236,0.07783464612782866,0.09730753007434914,0.1913583360987924,0.236564590765502,0.18221421104694,0.32581200982048797,-0.10564111392200697,0.17245853274260065,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.889970589385873
2017-09-17,2215.0,0.0,3.6800000000000006,296769.76875201263,6.08,11393.977633111965,11.0,-16.20061466666667,-19.583546666666667,0.04875,0.05805,0.0801,0.10035,0.1833,0.22155,0.17270000000000002,0.04820159854068988,0.05709293298020623,0.07796370645734353,0.09629899741536192,0.18115364838274092,0.2153513695395533,0.16514135209589906,0.30583471540987267,-0.08624788996621058,0.1594112538860574,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,4.558178466160712
2017-09-29,2215.0,0.0,3.3,602197.0382434772,5.8199999999999985,15132.419645001635,11.0,-14.9536,-23.060064333333333,0.04175,0.05105,0.06875,0.0872,0.16565000000000002,0.19025000000000006,0.14705,0.043707019985747664,0.05265717672335903,0.07161341438250593,0.08877610427901418,0.1650411049278337,0.1932553424167988,0.14760520778157274,0.3004721424805656,-0.078745512823427,0.14635174424598707,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,4.022664159569315
2017-10-11,2215.0,0.0,3.28,626440.24200716,5.62,18989.30317142849,11.0,-16.799674999999997,-22.492429,0.04175,0.05105,0.06875,0.0872,0.16565000000000002,0.19025000000000006,0.14705,0.043707019985747664,0.05265717672335903,0.07161341438250593,0.08877610427901418,0.1650411049278337,0.1932553424167988,0.14760520778157274,0.3004721424805656,-0.078745512823427,0.14635174424598707,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.893246651596404
2017-10-23,2215.0,0.0,3.4200000000000004,477556.37588963204,5.38,25209.813537021742,11.0,-14.876943666666667,-20.000795333333333,0.0394,0.047950000000000007,0.06770000000000001,0.0849,0.1528,0.1872,0.14225,0.03897159749832512,0.04823048572066799,0.06577159035068186,0.08164276486167467,0.15044791971664834,0.17158465726411334,0.13045402023038505,0.2964580632780812,-0.06563540169020764,0.1345347520738343,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.6789248922753552
2017-11-04,2215.0,0.0,2.9199999999999995,1332589.5854718238,5.48,22368.66929339252,11.0,-14.794783333333333,-20.875886666666666,0.03345,0.0424,0.0595,0.0753,0.13790000000000002,0.16490000000000002,0.12300000000000001,0.03457038376038407,0.04432596115596156,0.061177021177021736,0.07570335556335625,0.1393219843219856,0.1524358301158315,0.11523177840177945,0.2958657281627959,-0.04494771054929497,0.12611759468969433,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.406586952303468
2017-12-10,2215.0,0.0,3.0,1118108.3786262977,7.659999999999998,2542.7643763401816,11.0,-13.552844833333333,-22.052871,0.0264,0.0367,0.049600000000000005,0.05925,0.11325,0.1018,0.0742,0.030283432783433057,0.04214228676728715,0.059755854685855224,0.07292250614250681,0.13283064057564178,0.13209739382239502,0.09955915057915148,0.291165094622831,0.0027677205053547064,0.11940565415454835,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.8306807360755144
2018-01-03,2215.0,0.0,2.9,1393400.0214795729,7.760000000000002,2337.403735975291,11.0,-11.942775,-19.044621000000003,0.028418181818181818,0.04210454545454545,0.06097727272727273,0.07152272727272728,0.1277181818181818,0.11323636363636365,0.08590909090909091,0.028391819819820075,0.04131240493740531,0.059365348777349315,0.07099226465426531,0.12726478191178306,0.11921117901018008,0.08856025950626029,0.2838361522689729,0.032675003564152184,0.11314467114786325,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.9600799405103517
2018-01-15,2215.0,0.0,2.58,2976856.4659551056,8.3,1510.2336073761926,11.0,-14.223557666666666,-20.75281166666667,0.028418181818181818,0.04210454545454545,0.06097727272727273,0.07152272727272728,0.1277181818181818,0.11323636363636365,0.08590909090909091,0.028391819819820075,0.04131240493740531,0.059365348777349315,0.07099226465426531,0.12726478191178306,0.11921117901018008,0.08856025950626029,0.2838361522689729,0.032675003564152184,0.11314467114786325,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,4.05843068381356
2018-01-27,2215.0,0.0,3.0200000000000005,1070898.5794503991,7.8,2260.6668935733505,11.0,-17.009681333333333,-23.132519666666667,0.03150909090909091,0.045977272727272735,0.06681363636363638,0.07888636363636364,0.1396090909090909,0.13061818181818186,0.09965454545454544,0.030036329238329513,0.04333571604071644,0.06233361109161165,0.07382771077571146,0.1317037813267825,0.12456378062478175,0.0930964457704466,0.2815922268603468,0.027861507900677065,0.11578435919534545,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,4.042066038972229
