date,sigma,std_sigma,precip,LAI,rzsm,psi_rz,ssm,psi_s,B1,B4,B5
2015-01-16 13:32:00,-12.288991,7.1029468,0.0,0.2,6.7,74.58656228486473,26.8,0.4599031259961268,0.048799999999999996,0.12200000000000001,0.18235
2015-01-21 13:40:00,-12.178586,7.137673,0.0,0.2,7.0200000000000005,62.846819902458705,29.060000000000002,0.34166525595102,0.048799999999999996,0.12200000000000001,0.18235
2015-02-09 13:32:00,-11.195145,6.4707875,0.0,0.2,6.519999999999999,82.42803890019005,37.059999999999995,0.1399383318742397,0.048799999999999996,0.12200000000000001,0.18235
2015-02-14 13:40:00,-12.416227,7.1760063,0.0,0.2,6.779999999999999,71.40661134857159,36.71999999999999,0.14475368995260443,0.048799999999999996,0.12200000000000001,0.18235
2015-03-05 13:32:00,-13.308727,7.687019,0.0,0.30000000000000004,7.0,63.508461923575574,28.28,0.37755029006344765,0.08135,0.18330000000000002,0.25705000000000006
2015-03-10 13:40:00,-12.328378,7.119636,0.0,0.2,6.74,72.9745512035266,35.38,0.16591775409099485,0.08135,0.18330000000000002,0.25705000000000006
2015-03-29 13:32:00,-11.489901,6.6797767,0.0,0.5,7.12,59.66704129345392,33.8,0.19621134095649956,0.08135,0.18330000000000002,0.25705000000000006
2015-04-22 13:32:00,-14.35791,8.32323,0.0,0.5,7.4,51.78972333056487,30.6,0.28267142141109514,0.08225,0.17415,0.23575000000000002
2015-05-21 13:40:00,-11.006893,6.361103,0.0,0.8,8.940000000000001,25.873555533232697,39.04,0.11560118068386135,0.07955000000000001,0.1739,0.28155
2015-06-14 13:40:00,-10.487743,6.0743694,0.0,1.3,8.700000000000001,28.59154808167107,27.0,0.4475213026517202,0.07945,0.1651,0.30884999999999996
2015-07-03 13:32:00,-14.479647,8.526764,0.0,0.7000000000000001,7.220000000000001,56.68918294596325,23.919999999999995,0.6980766935327805,0.0794,0.16560000000000002,0.2873
2015-07-08 13:40:00,-10.21966,5.902086,0.0,0.6000000000000001,7.539999999999999,48.34652843880385,23.499999999999996,0.7449774790139336,0.0794,0.16560000000000002,0.2873
2015-07-27 13:32:00,-8.927637,5.156921,0.0,0.4,7.58,47.416609055811485,23.26,0.773584528868547,0.07540000000000001,0.17099999999999999,0.26445
2015-08-01 13:40:00,-11.228142,6.4891663,0.0,0.30000000000000004,7.660000000000001,45.62402594399603,24.380000000000003,0.6509340714323694,0.08455,0.1879,0.2649
2015-08-20 13:32:00,-13.492153,7.7917304,0.0,0.30000000000000004,7.94,39.99085645177485,26.68,0.4675418404509633,0.09365,0.21444999999999997,0.30895
2015-08-25 13:40:00,-13.786467,7.9596267,0.0,0.2,7.9399999999999995,39.99085645177485,26.9,0.4536584680105774,0.09365,0.21444999999999997,0.30895
2015-09-13 13:32:00,-14.647432,8.516195,0.0,0.2,7.94,39.99085645177485,27.860000000000003,0.39886711203974884,0.08564999999999999,0.19715,0.27465
2015-10-07 13:32:00,-13.17856,7.60865,0.0,0.2,7.68,45.18941259825778,35.56,0.16285566540177876,0.04825000000000001,0.1281,0.21475
2015-10-12 13:40:00,-10.86805,6.317726,0.0,0.2,7.58,47.416609055811485,35.38,0.16591775409099485,0.04825000000000001,0.1281,0.21475
2015-11-24 13:32:00,-12.426645,7.2342873,0.0,0.1,7.06,61.54963425343583,36.3,0.1509971462565492,0.4983000000000001,0.5599500000000001,0.5858500000000001
2015-11-29 13:40:00,-13.416988,7.777339,0.0,0.1,7.06,61.54963425343583,35.620000000000005,0.16185096975965127,0.4983000000000001,0.5599500000000001,0.5858500000000001
2016-01-11 13:32:00,-16.707703,9.963465,0.0,0.0,6.92,66.24538586630086,34.36,0.1847260617132691,1.18495,1.1679000000000002,1.0747
2016-02-04 13:32:00,-16.735825,9.894227,0.0,0.30000000000000004,6.9,66.95295414525917,36.42,0.1491789118138599,-0.059000000000000004,0.03875000000000001,0.09695
2016-02-09 13:40:00,-13.368851,7.7238936,0.0,0.1,6.739999999999999,72.97455120352666,35.5,0.16386831020062087,-0.059000000000000004,0.03875000000000001,0.09695
2016-02-28 13:32:00,-14.13529,8.170305,0.0,0.2,6.640000000000001,77.0905389842485,37.5,0.13400503531109542,0.08130000000000001,0.1749,0.26035
2016-03-04 13:40:00,-13.642731,7.8802705,0.0,0.2,6.459999999999999,85.27332498947479,37.220000000000006,0.13774281151009396,0.08130000000000001,0.1749,0.26035
2016-03-28 13:40:00,-13.254548,7.6875076,0.0,0.30000000000000004,6.68,75.40956499501212,37.28,0.13693080012956163,0.08095,0.17420000000000002,0.26815
2016-04-21 13:40:00,-11.738131,6.7818804,0.0,0.2,6.980000000000001,64.17899272097962,39.760000000000005,0.10810090950375766,0.05985000000000001,0.14025,0.32605
2016-06-03 13:32:00,-13.278846,7.7538433,0.0,0.6000000000000001,4.540000000000001,311.23038695040015,41.260000000000005,0.09436125339623777,0.02445,0.04820000000000001,0.37675000000000003
2016-06-08 13:40:00,-13.05257,7.5425715,0.0,1.3,4.4799999999999995,326.8066061553864,41.42,0.09303014392544041,0.02445,0.04820000000000001,0.37675000000000003
2016-07-02 13:40:00,-10.047695,5.8895206,0.0,0.4,4.859999999999999,242.38209681966416,41.4,0.09319522027944042,0.028100000000000003,0.07160000000000001,0.32880000000000004
2016-07-21 13:32:00,-11.146459,6.6738434,0.0,0.30000000000000004,6.5,83.36285632450007,40.7,0.09921532255114471,0.08165,0.2631,0.3979500000000001
